report_date,symbol,Open,Close,High,Low,Volume
2010-10-14,SPY,117.81,117.46,118.01,116.72,217764300
2010-10-15,SPY,118.28,117.7,118.35,116.76,243705000
2010-10-18,SPY,117.74,118.28,118.67,117.31,141204800
2010-10-19,SPY,117.19,116.73,117.85,116.02,280604700
2010-10-20,SPY,116.94,117.87,118.44,116.87,200051800
2010-10-21,SPY,118.4,118.13,119.09,117.21,221585500
2010-10-22,SPY,118.31,118.35,118.53,118.0,108212400
2010-10-25,SPY,119.14,118.7,119.76,118.61,151145700
2010-10-26,SPY,118.1,118.72,118.84,117.87,158982900
2010-10-27,SPY,117.89,118.38,118.51,117.26,190024000
2010-10-28,SPY,119.06,118.4,119.11,117.83,168576000
2010-10-29,SPY,118.28,118.49,118.72,118.07,144305500
2010-11-01,SPY,119.07,118.53,119.75,117.85,174074800
2010-11-02,SPY,119.42,119.47,119.75,119.1,158345900
2010-11-03,SPY,119.68,119.95,120.02,118.45,226702800
2010-11-04,SPY,121.28,122.26,122.32,119.97,215039400
2010-11-05,SPY,122.34,122.72,122.92,122.18,180654100
2010-11-08,SPY,122.34,122.49,122.69,121.94,156107100
2010-11-09,SPY,122.82,121.61,122.95,121.12,186621600
2010-11-10,SPY,121.58,122.1,122.16,120.66,221387400
2010-11-11,SPY,121.05,121.64,121.82,120.68,158017600
2010-11-12,SPY,120.82,120.2,121.35,119.65,239068800
2010-11-15,SPY,120.58,120.03,121.05,119.98,163940800
2010-11-16,SPY,119.29,118.16,119.49,117.59,299566200
2010-11-17,SPY,118.21,118.22,118.71,117.86,172308900
2010-11-18,SPY,119.36,119.96,120.39,119.35,197723700
2010-11-19,SPY,119.9,120.29,120.34,119.25,156852900
2010-11-22,SPY,119.69,120.19,120.24,118.77,181361000
2010-11-23,SPY,118.77,118.45,119.02,117.99,222309000
2010-11-24,SPY,119.2,120.2,120.23,119.18,140046100
2010-11-26,SPY,119.16,118.8,119.81,118.8,76007800
2010-11-29,SPY,118.5,119.16,119.48,117.74,223642300
2010-11-30,SPY,117.98,118.49,119.17,117.81,233930700
2010-12-01,SPY,120.2,121.01,121.24,120.19,221037200
2010-12-02,SPY,121.2,122.56,122.65,121.13,191213600
2010-12-03,SPY,122.14,122.89,123.03,122.11,151288900
2010-12-06,SPY,122.63,122.76,123.04,122.5,103050500
2010-12-07,SPY,123.94,122.83,124.01,122.76,206581000
2010-12-08,SPY,122.98,123.28,123.38,122.41,138019200
2010-12-09,SPY,123.97,123.76,124.02,123.15,123705100
2010-12-10,SPY,124.14,124.48,124.6,123.73,117571700
2010-12-13,SPY,125.05,124.56,125.2,124.52,133812700
2010-12-14,SPY,124.75,124.67,125.23,124.29,147249600
